title,release date,artist name,genre
Cheers to the Best Memories,2021-08-20,Ty Dolla $ign,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']"
Ty $,2014-12-08,Ty Dolla $ign,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']"
Poster Girl (Swedish Summer Edition),2021-07-09,Zara Larsson,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house', 'uk pop']"
Nobody Is An Island,2021-04-23,Zara Larsson,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house', 'uk pop']"
Pluto x Baby Pluto (Deluxe),2020-11-13,Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap', 'trap']"
Next Up (feat. Lil Uzi Vert & Gucci Mane),2022-04-28,Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap', 'trap']"
Ley De Gravedad,2022-03-11,Luis Fonsi,"['latin pop', 'puerto rican pop']"
Paso A Paso,2005-01-01,Luis Fonsi,"['latin pop', 'puerto rican pop']"
LVV the Real Rondon,2020-10-22,Darell,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
Encendia,2021-06-03,Darell,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
The Voice of the Heroes,2021-06-04,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']"
Detox,2022-09-02,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']"
Madden NFL 22 Soundtrack,2021-08-13,Swae Lee,"['melodic rap', 'trap']"
Catch Up (feat. Mike WiLL Made-It),2020-04-17,Swae Lee,"['melodic rap', 'trap']"
All 4 Nothing,2022-08-05,Lauv,"['electropop', 'pop']"
Fake,2020-10-12,Lauv,"['electropop', 'pop']"
Baby On Baby 2,2022-09-23,DaBaby,"['north carolina hip hop', 'rap', 'trap']"
God's Work Resurrected,2016-12-02,DaBaby,"['north carolina hip hop', 'rap', 'trap']"
7,2018-09-14,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
One More Love,2011-08-05,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
KG0516,2021-03-26,KAROL G,"['reggaeton', 'reggaeton colombiano']"
"Ay, DiOs Mío!",2021-03-25,KAROL G,"['reggaeton', 'reggaeton colombiano']"
Night Visions (Expanded Edition / Super Deluxe),2022-09-09,Imagine Dragons,"['modern rock', 'rock']"
Night Visions,2012-09-04,Imagine Dragons,"['modern rock', 'rock']"
Yo Te Quiero Pa Mi,2022-02-09,Dalex,"['r&b en espanol', 'reggaeton', 'trap latino']"
Otro Dia,2022-02-16,Dalex,"['r&b en espanol', 'reggaeton', 'trap latino']"
Scenic Drive (The Tape),2021-12-03,Khalid,"['pop', 'pop r&b']"
Scenic Drive (feat. Ari Lennox & Smino),2021-12-02,Khalid,"['pop', 'pop r&b']"
What Is Love? (Deluxe Edition),2018-11-30,Clean Bandit,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky', 'uk pop']"
"Drive (feat. Chip, Russ Millions, French the Kid, Wes Nelson & Topic) [GXL Remix]",2021-12-03,Clean Bandit,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky', 'uk pop']"
Punk,2021-10-15,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
I'm Up,2016-02-05,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Music Of The Spheres,2021-10-15,Coldplay,"['permanent wave', 'pop']"
Viva La Vida (Prospekt's March Edition),2008-11-24,Coldplay,"['permanent wave', 'pop']"
Culture III (Deluxe),2021-06-11,Migos,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Juug Season,2013-07-30,Migos,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Jason Derulo (10th Anniversary Deluxe),2020-08-07,Jason Derulo,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
Jason Derulo (Deluxe Audio),2010-03-01,Jason Derulo,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
